word;polarity_n0;polarity_n1
afidalgado;POL:N0=0;
afilado;POL:N0=0;
afilhado;POL:N0=0;
afinado;POL:N0=1;
afincado;POL:N0=0;
afirmativo;POL:N0=1;
aflição;POL:N0=-1;
afligido;POL:N0=-1;
afligir-se;POL:N0=-1;
afligir;POL:N0=0;POL:N1=-1
aflitivo;POL:N0=-1;
aflito;POL:N0=-1;
afobado;POL:N0=-1;
afogado;POL:N0=-1;
afogar as mágoas;POL:N0=-1;
afogar-se em pouca água;POL:N0=-1;
afogar-se;POL:N0=-1;
afogueado;POL:N0=0;
afoiteza;POL:N0=1;
afoito;POL:N0=1;
afortunado;POL:N0=1;
afrancesado;POL:N0=0;
afrontado;POL:N0=-1;
afrontar;POL:N0=1;POL:N1=-1
afrontoso;POL:N0=-1;
afugentar;POL:N0=1;POL:N1=-1
afundado;POL:N0=-1;
afundanço;POL:N0=-1;
afundar-se;POL:N0=-1;
afundar;POL:N0=1;POL:N1=-1
agachado;POL:N0=-1;
agarotado;POL:N0=-1;
agarrado;POL:N0=-1;
agarrar a oportunidade com unhas e dentes;POL:N0=1;
agarrar a oportunidade;POL:N0=1;
agarrar o touro pelos cornos;POL:N0=1;
agarrar-se ao poder;POL:N0=-1;
agasalhado;POL:N0=0;
agastadiço;POL:N0=-1;
agastado;POL:N0=-1;
agastar-se;POL:N0=-1;
ágil;POL:N0=1;
agilidade;POL:N0=1;
agiota;POL:N0=-1;
agir de boa-fé;POL:N0=1;
agir de má-fé;POL:N0=-1;
aglomerado;POL:N0=0;
agnóstico;POL:N0=0;
agoirento;POL:N0=-1;
agonia;POL:N0=-1;
agoniado;POL:N0=-1;
agoniante;POL:N0=-1;
agoniar;POL:N0=-1;POL:N1=0
agonizante;POL:N0=-1;
agoureiro;POL:N0=-1;
agourento;POL:N0=-1;
agradado;POL:N0=1;
agradar;POL:N0=1;POL:N1=0
agradável;POL:N0=1;
agradecer;POL:N0=0;POL:N1=1
agrado;POL:N0=1;
agravado;POL:N0=-1;
agravar;POL:N0=-1;POL:N1=0
agre;POL:N0=-1;
agredir;POL:N0=-1;POL:N1=0
agregado;POL:N0=0;
agressividade ;POL:N0=-1;
agressivo;POL:N0=-1;
agressor;POL:N0=-1;
agreste;POL:N0=-1;
agrilhoado;POL:N0=-1;
agrosseirado;POL:N0=-1;
aguado;POL:N0=-1;
aguardado;POL:N0=0;
aguçado;POL:N0=-1;
agudo;POL:N0=0;
aguentar-se bem;POL:N0=1;
aguentar-se;POL:N0=1;
aguerrido;POL:N0=0;
airoso;POL:N0=1;
ajanotado;POL:N0=0;
ajudado;POL:N0=1;
ajuizado;POL:N0=1;
alapado;POL:N0=-1;
alarmante;POL:N0=-1;
alarmismo;POL:N0=-1;
alarmista;POL:N0=-1;
alarve;POL:N0=-1;
alarvice;POL:N0=-1;
albigense;POL:N0=0;
albino;POL:N0=-1;
alcandorado;POL:N0=0;
alcoólatra;POL:N0=-1;
alcoólico;POL:N0=-1;
alcoolismo;POL:N0=-1;
alcoolizado;POL:N0=-1;
alcunhado;POL:N0=0;
aldrabão;POL:N0=-1;
alegado;POL:N0=-1;
alegrar-se;POL:N0=1;
alegre;POL:N0=1;
alegrete;POL:N0=0;
alegria;POL:N0=1;
alegrote;POL:N0=0;
aleijado;POL:N0=-1;
aleivoso;POL:N0=-1;
alentado;POL:N0=1;
alentador;POL:N0=1;
alento;POL:N0=1;
alérgico;POL:N0=0;
alfabetizado;POL:N0=0;
algemado;POL:N0=-1;
alheado;POL:N0=-1;
alhear-se;POL:N0=-1;POL:N1=0
alheio;POL:N0=-1;
aliado;POL:N0=0;
alicerçado;POL:N0=1;
aliciado;POL:N0=-1;
aliciar;POL:N0=-1;POL:N1=0
alienação mental;POL:N0=-1;
alienado;POL:N0=-1;
alienígena;POL:N0=-1;
aligeirado;POL:N0=0;
alimentado;POL:N0=0;
alinhado;POL:N0=1;
aliviado;POL:N0=0;
almo;POL:N0=1;
almóada;POL:N0=0;
almorávida;POL:N0=0;
aloirado;POL:N0=0;
alourado;POL:N0=0;
alquebrado;POL:N0=-1;
altamente;POL:N0=1;
altaneiro;POL:N0=-1;
alteroso;POL:N0=0;
altivo;POL:N0=-1;
alto;POL:N0=0;
altruísmo;POL:N0=1;
altruísta;POL:N0=1;
altruístico;POL:N0=1;
aluado;POL:N0=-1;
alucinação;POL:N0=-1;
alucinado;POL:N0=-1;
alucinar;POL:N0=-1;
alumbrado;POL:N0=-1;
alumiado;POL:N0=1;
alvejado;POL:N0=0;
alvissareiro;POL:N0=0;
alvoraçado;POL:N0=-1;
amabilidade;POL:N0=1;
amachucado;POL:N0=-1;
amachucar;POL:N0=1;POL:N1=-1
amado;POL:N0=1;
amador;POL:N0=0;
amadorismo;POL:N0=-1;
amadurecer;POL:N0=1;
amadurecido;POL:N0=1;
amaldiçoado;POL:N0=-1;
amalucado;POL:N0=-1;
amamentado;POL:N0=0;
amaneirado;POL:N0=-1;
amar;POL:N0=0;POL:N1=1
amarelado;POL:N0=-1;
amarelo;POL:N0=-1;
amargado;POL:N0=-1;
amargo;POL:N0=-1;
amargura;POL:N0=-1;
amargurado;POL:N0=-1;
amaricado;POL:N0=-1;
amarrado;POL:N0=-1;
amassado;POL:N0=-1;
amável;POL:N0=1;
ambicioso;POL:N0=0;
ambidestro;POL:N0=0;
ambidextro;POL:N0=0;
ambiguidade;POL:N0=-1;
ambíguo;POL:N0=-1;
ambiopia;POL:N0=-1;
ambliopia;POL:N0=-1;
ambrosiano;POL:N0=0;
ameaça;POL:N0=-1;
ameaçador;POL:N0=-1;
ameaçante;POL:N0=-1;
amedrontado;POL:N0=-1;
amedrontador;POL:N0=-1;
amedrontar;POL:N0=1;POL:N1=-1
ameno;POL:N0=1;
americanista;POL:N0=0;
americanófilo;POL:N0=0;
americanófobo;POL:N0=-1;
amestrado;POL:N0=1;
amigalhaço;POL:N0=1;
amigalhão;POL:N0=1;
amigável;POL:N0=1;
amigo da onça;POL:N0=-1;
amigo da pinga;POL:N0=-1;
amigo dos copos;POL:N0=-1;
amigo;POL:N0=1;
amistoso;POL:N0=1;
amnésia;POL:N0=-1;
amnésico;POL:N0=-1;
amolecer;POL:N0=-1;
amoral;POL:N0=-1;
amoralidade;POL:N0=-1;
amoralista;POL:N0=-1;
amorável;POL:N0=1;
amorfia;POL:N0=-1;
amorfo;POL:N0=-1;
amorosidade;POL:N0=1;
amoroso;POL:N0=1;
amortecido;POL:N0=-1;
amotinado;POL:N0=-1;
amputado;POL:N0=-1;
amuado;POL:N0=-1;
amuamento;POL:N0=-1;
amuar;POL:N0=-1;
amuo;POL:N0=-1;
anacrónico;POL:N0=-1;
anacrônico;POL:N0=-1;
anafado;POL:N0=-1;
analfabeto;POL:N0=-1;
analisador;POL:N0=0;
analista;POL:N0=0;
anão;POL:N0=-1;
anárquico;POL:N0=-1;
anarquista;POL:N0=-1;
ancião;POL:N0=0;
andante;POL:N0=-1;
andar a apanhar bonés;POL:N0=-1;
andar à deriva;POL:N0=-1;
andar a dormir à sombra da bananeira;POL:N0=-1;
andar a dormir;POL:N0=-1;
andar a falar sozinho;POL:N0=-1;
andar à nora;POL:N0=-1;
andar a pensar na morte da bezerra;POL:N0=-1;
andar a reboque de;POL:N0=-1;POL:N1=0
andar à sombra da bananeira;POL:N0=-1;
andar ao deus dará;POL:N0=-1;
andar aos bonés;POL:N0=-1;
andar aos caídos;POL:N0=-1;
andar aos papéis;POL:N0=-1;
andar armado em carapau de corrida;POL:N0=-1;
andar às aranhas;POL:N0=-1;
andar às cavalitas de;POL:N0=-1;POL:N1=0
andar às cegas;POL:N0=-1;
andar às turras com;POL:N0=-1;POL:N1=-1
andar com a cabeça na lua;POL:N0=-1;
andar com cara de caso;POL:N0=-1;
andar com dor de corno;POL:N0=-1;
andar com dor de cotovelo;POL:N0=-1;
andar com macacos na cabeça;POL:N0=-1;
andar com macacos no sótão;POL:N0=-1;
andar com macaquinhos na cabeça;POL:N0=-1;
andar com macaquinhos no sótão;POL:N0=-1;
andar com o coração nas mãos;POL:N0=-1;
andar com os azeites;POL:N0=-1;
andar de olhos vendados;POL:N0=-1;
andar de trombas;POL:N0=-1;
andar em pele e osso;POL:N0=-1;
andar feito barata tonta;POL:N0=-1;
andar feito com;POL:N0=-1;POL:N1=-1
andar na boa vida;POL:N0=-1;
andar na lua;POL:N0=-1;
andar na má vida;POL:N0=-1;
andar nas sete quintas;POL:N0=1;
andar pelos cabelos;POL:N0=-1;
andarilho;POL:N0=0;
andrajoso;POL:N0=-1;
anedótico;POL:N0=-1;
anémico;POL:N0=-1;
anêmico;POL:N0=-1;
anestesiado;POL:N0=-1;
anestesiar;POL:N0=1;POL:N1=-1
anexado;POL:N0=0;
anexionista;POL:N0=0;
angelical;POL:N0=1;
angélico;POL:N0=1;
angelita;POL:N0=0;
anglicano;POL:N0=0;
anglófilo;POL:N0=0;
anglófobo;POL:N0=-1;
angustiado;POL:N0=-1;
angustiante;POL:N0=-1;
angustiar;POL:N0=0;POL:N1=-1
animação;POL:N0=1;
animado;POL:N0=1;
animador;POL:N0=1;
animal político;POL:N0=1;
animal;POL:N0=-1;
animar;POL:N0=1;POL:N1=0
animista;POL:N0=0;
animosidade;POL:N0=-1;
animoso;POL:N0=1;
aniquilado;POL:N0=-1;
aniquilar;POL:N0=1;POL:N1=-1
anjinho;POL:N0=-1;
anómalo;POL:N0=-1;
anoréctico;POL:N0=-1;
anorético;POL:N0=-1;
anorexia nervosa;POL:N0=-1;
anorexia;POL:N0=-1;
anormal;POL:N0=-1;
anormalidade;POL:N0=-1;
anotia;POL:N0=-1;
ansioso;POL:N0=-1;
antepassado;POL:N0=0;
anti-republicano;POL:N0=-1;
antidemocrata;POL:N0=-1;
antidesportista;POL:N0=-1;
antidesportivismo;POL:N0=-1;
antidogmático;POL:N0=1;
antifascista;POL:N0=1;
antifederalista;POL:N0=0;
antigo;POL:N0=0;
antiliberal;POL:N0=-1;
antiliberalista;POL:N0=-1;
antimilitarista;POL:N0=0;
antinatural;POL:N0=-1;
antinazista;POL:N0=1;
antinómico;POL:N0=-1;
antipapista;POL:N0=0;
antipartidário;POL:N0=0;
antipatia;POL:N0=-1;
antipático;POL:N0=-1;
antipatriota;POL:N0=-1;
antipatriotismo;POL:N0=-1;
antipolítico;POL:N0=-1;
antiquado;POL:N0=-1;
antisocial;POL:N0=-1;
antoniano;POL:N0=0;
antonino;POL:N0=0;
antropófago;POL:N0=-1;
anular;POL:N0=1;POL:N1=-1
apadrinhado;POL:N0=0;
apagado;POL:N0=-1;
apagar-se;POL:N0=-1;
apagar;POL:N0=1;POL:N1=-1
apaixonado;POL:N0=0;
apaixonante;POL:N0=1;
apaixonar-se;POL:N0=0;POL:N1=1
apaixonar;POL:N0=1;POL:N1=0
apalavrado;POL:N0=0;
apalermado;POL:N0=-1;
apalhaçado;POL:N0=-1;
apancado;POL:N0=-1;
apanhado;POL:N0=-1;
apanhar nas orelhas;POL:N0=-1;
apanhar por tabela;POL:N0=-1;
apaparicar;POL:N0=-1;POL:N1=0
aparolado;POL:N0=-1;
apartado;POL:N0=-1;
aparvalhado;POL:N0=-1;
apatetado;POL:N0=-1;
apatia;POL:N0=-1;
apático;POL:N0=-1;
apatriota;POL:N0=-1;
apavorado;POL:N0=-1;
apavorante;POL:N0=-1;
apavorar-se;POL:N0=-1;
apavorar;POL:N0=1;POL:N1=-1
apaziguador;POL:N0=1;
apaziguar;POL:N0=1;POL:N1=0
apeado;POL:N0=-1;
apedantado;POL:N0=-1;
apedrejado;POL:N0=-1;
apedrejar;POL:N0=-1;POL:N1=0
apelativo;POL:N0=1;
apele;POL:N0=0;
apelidado;POL:N0=0;
aperaltado;POL:N0=-1;
aperreado;POL:N0=-1;
apessoado;POL:N0=1;
apetitoso;POL:N0=0;
aplaudir;POL:N0=0;POL:N1=1
aplicado;POL:N0=1;
aplicar golpes baixos a;POL:N0=-1;POL:N1=0
apócrifo;POL:N0=-1;
apoiar;POL:N0=0;POL:N1=1
apolíneo;POL:N0=1;
apologético;POL:N0=0;
apopléctico;POL:N0=-1;
apoplético;POL:N0=-1;
apoquentado;POL:N0=-1;
apoquentador;POL:N0=-1;
aposentado;POL:N0=0;
apostado;POL:N0=1;
apóstata;POL:N0=-1;
aprazível;POL:N0=1;
apreciado;POL:N0=1;
apreciador;POL:N0=1;
apreciar;POL:N0=0;POL:N1=1
apreciável;POL:N0=1;
apreendido;POL:N0=-1;
apreensivo;POL:N0=-1;
apresentar alternativas;POL:N0=1;
apresentar resultados;POL:N0=1;
apresentável;POL:N0=1;
apressado;POL:N0=0;
aprimorado;POL:N0=1;
apriorista;POL:N0=-1;
aprisionado;POL:N0=-1;
aprontado;POL:N0=0;
aprontar;POL:N0=-1;
apropriado;POL:N0=1;
apropriar-se;POL:N0=-1;POL:N1=0
aprovado;POL:N0=1;
aproveitador;POL:N0=-1;
aproveitar-se;POL:N0=-1;POL:N1=0
aprumado;POL:N0=1;
aprumo;POL:N0=1;
apto;POL:N0=1;
apunhalado;POL:N0=-1;
apunhalar pelas costas;POL:N0=-1;POL:N1=0
apunhalar;POL:N0=-1;POL:N1=0
apupar;POL:N0=0;POL:N1=-1
apurado;POL:N0=1;
aquietador;POL:N0=-1;
árabe;POL:N0=0;
arbitrário;POL:N0=-1;
arcaico;POL:N0=-1;
ardente;POL:N0=1;
ardil;POL:N0=-1;
ardiloso;POL:N0=-1;
ardoroso;POL:N0=0;
árduo;POL:N0=-1;
arfante;POL:N0=-1;
arguto;POL:N0=0;
ariano;POL:N0=0;
árido;POL:N0=-1;
arisco;POL:N0=-1;
aristocrata;POL:N0=0;
aristotélico;POL:N0=0;
armado;POL:N0=0;
armar barraca;POL:N0=-1;
armar-se aos cágados;POL:N0=-1;
armar-se aos cucos;POL:N0=-1;
armar-se em carapau de corrida;POL:N0=-1;
armar-se em chico esperto;POL:N0=-1;
armar-se em parvo;POL:N0=-1;
armar-se;POL:N0=-1;
arnaz;POL:N0=1;
arquejante;POL:N0=-1;
arrancado;POL:N0=0;
arranhado;POL:N0=-1;
arranjar lenha para se queimar;POL:N0=-1;
arranjar sarna para se coçar;POL:N0=-1;
arranjar um bico de obra;POL:N0=-1;
arrasado;POL:N0=-1;
arrasador;POL:N0=0;
arrasante;POL:N0=0;
arrasar;POL:N0=1;POL:N1=-1
arrastadeiro;POL:N0=-1;
arrastado;POL:N0=-1;
arrebatado;POL:N0=0;
arrebatador;POL:N0=0;
arrebatar;POL:N0=1;POL:N1=0
arrebentado;POL:N0=-1;
arrebitado;POL:N0=-1;
arredado;POL:N0=-1;
arredio;POL:N0=-1;
arreliado;POL:N0=-1;
arreliador;POL:N0=-1;
arreliar;POL:N0=1;POL:N1=-1
arremessado;POL:N0=0;
arrenegado;POL:N0=-1;
arrepender-se;POL:N0=-1;
arrepiante;POL:N0=-1;
arrepio;POL:N0=-1;
arretado;POL:N0=1;
arrevesado;POL:N0=-1;
arrivista;POL:N0=-1;
arrogância;POL:N0=-1;
arrogante;POL:N0=-1;
arrojado;POL:N0=1;
arrolado;POL:N0=-1;
arrozeiro;POL:N0=0;
arruaceiro;POL:N0=-1;
arrufado;POL:N0=-1;
arrufo;POL:N0=-1;
arruinado;POL:N0=-1;
arruinamento;POL:N0=-1;
arruinar-se;POL:N0=-1;
arruinar;POL:N0=-1;POL:N1=0
arruivado;POL:N0=0;
arrumar a um canto;POL:N0=1;POL:N1=-1
arrumar as botas;POL:N0=-1;
arrumar;POL:N0=1;POL:N1=-1
arteirice;POL:N0=-1;
arteiro;POL:N0=-1;
arteriosclerose;POL:N0=-1;
arteriosclerótico;POL:N0=-1;
artificial;POL:N0=-1;
artificialidade;POL:N0=-1;
artifício;POL:N0=-1;
artificiosidade;POL:N0=-1;
artificioso;POL:N0=-1;
artimanha;POL:N0=-1;
artista;POL:N0=0;
artístico;POL:N0=1;
artritismo;POL:N0=-1;
ascético;POL:N0=0;
aselha;POL:N0=-1;
aselhice;POL:N0=-1;
asfixiante;POL:N0=-1;
asfixiar;POL:N0=1;POL:N1=-1
asilado;POL:N0=-1;
asneira;POL:N0=-1;
asneirento;POL:N0=-1;
asno;POL:N0=-1;
aspereza;POL:N0=-1;
áspero;POL:N0=-1;
aspirante;POL:N0=0;
asquerosidade;POL:N0=-1;
asqueroso;POL:N0=-1;
assalariado;POL:N0=-1;
assaloiado;POL:N0=-1;
assaltante;POL:N0=-1;
assaltar;POL:N0=-1;POL:N1=0
assanhadiço;POL:N0=-1;
assanhado;POL:N0=-1;
assarapantado;POL:N0=-1;
assassinar;POL:N0=-1;POL:N1=0
assassino;POL:N0=-1;
assaz;POL:N0=0;
asseado;POL:N0=1;
assediado;POL:N0=-1;
assediador;POL:N0=-1;
assediar;POL:N0=-1;POL:N1=0
assédio sexual;POL:N0=-1;
assédio;POL:N0=-1;
asseio;POL:N0=1;
assertivo;POL:N0=1;
assexuado;POL:N0=0;
assexual;POL:N0=0;
assiduidade;POL:N0=1;
assíduo;POL:N0=1;
assimétrico;POL:N0=-1;
assimilado;POL:N0=0;
assinado;POL:N0=0;
assinalado;POL:N0=1;
assinalável;POL:N0=1;
assisado;POL:N0=1;
assoberbado;POL:N0=-1;
assolado;POL:N0=-1;
assolador;POL:N0=-1;
assomadiço;POL:N0=-1;
assombrado;POL:N0=-1;
assombrar;POL:N0=1;POL:N1=-1
assustadiço;POL:N0=-1;
assustado;POL:N0=-1;
assustador;POL:N0=-1;
assustar-se;POL:N0=-1;
assustar;POL:N0=0;POL:N1=-1
astenia;POL:N0=-1;
asténico;POL:N0=-1;
astúcia;POL:N0=-1;
astucioso;POL:N0=-1;
astuto;POL:N0=-1;
atabalhoação;POL:N0=-1;
atabalhoado;POL:N0=-1;
atabalhoamento;POL:N0=-1;
atacante;POL:N0=-1;
atacar;POL:N0=1;POL:N1=-1
atado;POL:N0=-1;
atafulhado;POL:N0=-1;
atamancado;POL:N0=-1;
atarantação;POL:N0=-1;
atarantado;POL:N0=-1;
atarantar-se;POL:N0=-1;
atarantar;POL:N0=1;POL:N1=-1
atarefado;POL:N0=0;
atarracado;POL:N0=-1;
atascado;POL:N0=0;
ateado;POL:N0=-1;
atemorizado;POL:N0=-1;
atemorizar;POL:N0=1;POL:N1=-1
atencioso;POL:N0=1;
atento;POL:N0=1;
aterrado;POL:N0=-1;
aterrador;POL:N0=-1;
aterrorizado;POL:N0=-1;
aterrorizador;POL:N0=-1;
aterrorizar;POL:N0=1;POL:N1=-1
atiçado;POL:N0=0;
atilado;POL:N0=1;
atinado;POL:N0=1;
atiradiço;POL:N0=0;
atirar areia para os olhos de;POL:N0=-1;POL:N1=0
atirar barro à parede;POL:N0=-1;
atirar com as culpas a;POL:N0=-1;POL:N1=0
atirar poeira aos olhos de;POL:N0=-1;POL:N1=0
ativado;POL:N0=0;
ativo;POL:N0=1;
atleta;POL:N0=1;
atlético;POL:N0=1;
atoleimado;POL:N0=-1;
atónito;POL:N0=-1;
atônito;POL:N0=-1;
atordoado;POL:N0=-1;
atordoador;POL:N0=-1;
atordoar;POL:N0=1;POL:N1=-1
atormentado;POL:N0=-1;
atormentador;POL:N0=-1;
atormentar;POL:N0=1;POL:N1=-1
atracado;POL:N0=-1;
atractivo;POL:N0=1;
atraente;POL:N0=1;
atraiçoado;POL:N0=-1;
atrair;POL:N0=1;POL:N1=0
atrapalhado;POL:N0=-1;
atrapalhar-se;POL:N0=-1;
atrapalhar;POL:N0=1;POL:N1=-1
atrasado mental;POL:N0=-1;
atrasado;POL:N0=-1;
atraso mental;POL:N0=-1;
atraso;POL:N0=-1;
atrativo;POL:N0=1;
atravessadiço;POL:N0=-1;
atravessado;POL:N0=-1;
atrevido;POL:N0=0;
atrevidote;POL:N0=0;
atribulado;POL:N0=-1;
atroador;POL:N0=-1;
atrocidade;POL:N0=-1;
atrofia;POL:N0=-1;
atrofiado;POL:N0=-1;
atrofiante;POL:N0=-1;
atrofiar-se;POL:N0=-1;
atrofiar;POL:N0=-1;
atropelado;POL:N0=-1;
atropelar;POL:N0=-1;POL:N1=0
atroz;POL:N0=-1;
atulhado;POL:N0=-1;
aturar;POL:N0=0;POL:N1=-1
aturdido;POL:N0=-1;
aturdir;POL:N0=1;POL:N1=-1
audacioso;POL:N0=0;
audaz;POL:N0=0;
áureo;POL:N0=1;
auspicioso;POL:N0=1;
austero;POL:N0=-1;
autenticidade;POL:N0=1;
autêntico;POL:N0=1;
autismo;POL:N0=-1;
autista;POL:N0=-1;
autoconfiança;POL:N0=1;
autoconfiante;POL:N0=1;
autocrata;POL:N0=0;
autodestruição;POL:N0=-1;
autodestrutivo;POL:N0=-1;
autodidacta;POL:N0=1;
autodidata;POL:N0=1;
autonomia;POL:N0=1;
autonomista;POL:N0=1;
autónomo;POL:N0=1;
autoritário;POL:N0=-1;
autoritarismo;POL:N0=-1;
autorizado;POL:N0=1;
autosuficiência;POL:N0=1;
autosuficiente;POL:N0=1;
auxiliado;POL:N0=0;
avançado;POL:N0=1;
avantajado;POL:N0=0;
avarento;POL:N0=-1;
avareza;POL:N0=-1;
avariado;POL:N0=-1;
avariar;POL:N0=-1;
avaro;POL:N0=-1;
avassalador;POL:N0=-1;
avassalamento;POL:N0=-1;
avassalante;POL:N0=-1;
avassalar;POL:N0=1;POL:N1=-1
avençado;POL:N0=0;
