word,part_of_speech,target,polarity_n0,polarity_n1,anotation
acadêmico,Adj,TG=HUM:N0,POL:N0=0,,ANOT=JALC
acalorado,Adj,TG=HUM:N0,POL:N0=0,,ANOT=MAN
açambarcador,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
acanhado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
acanhamento,N,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
acanhar-se,V,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
acatado,Adj,TG=HUM:N0,POL:N0=1,,ANOT=JALC
acatador,Adj,TG=HUM:N0,POL:N0=0,,ANOT=JALC
acautelado,Adj,TG=HUM:N0,POL:N0=0,,ANOT=JALC
acéfalo,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
aceitável,Adj,TG=HUM:N0,POL:N0=1,,ANOT=JALC
aceite,Adj,TG=HUM:N0,POL:N0=0,,ANOT=JALC
aceito,Adj,TG=HUM:N0,POL:N0=0,,ANOT=JALC
acelerado,Adj,TG=HUM:N0,POL:N0=0,,ANOT=MAN
acentuado,Adj,TG=HUM:N0,POL:N0=0,,ANOT=JALC
acerado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
acerbidade,N,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
acerbo,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
acérrimo,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
acertado,Adj,TG=HUM:N0,POL:N0=1,,ANOT=JALC
acertar na mosca,IDIOM,TG=HUM:N0,POL:N0=1,,ANOT=MAN
acertar na mouche,IDIOM,TG=HUM:N0,POL:N0=1,,ANOT=MAN
aceso,Adj,TG=HUM:N0,POL:N0=0,,ANOT=JALC
acessível,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
achacado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
achado,Adj,TG=HUM:N0,POL:N0=0,,ANOT=JALC
achar piada a,IDIOM,TG=HUM:N0:N1,POL:N0=0,POL:N1=1,ANOT=MAN
achatado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
achegado,Adj,TG=HUM:N0,POL:N0=1,,ANOT=JALC
achincalhar,V,TG=HUM:N0:N1,POL:N0=-1,POL:N1=-1,ANOT=MAN
achinesado,Adj,TG=HUM:N0,POL:N0=0,,ANOT=MAN
acidentado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
aciganado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
acintoso,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
acirrado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
aclamado,Adj,TG=HUM:N0,POL:N0=0,,ANOT=JALC
aclamar,V,TG=HUM:N0:N1,POL:N0=0,POL:N1=1,ANOT=MAN
acobardado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
acobardar-se,V,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
acobertado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
acobreado,Adj,TG=HUM:N0,POL:N0=0,,ANOT=JALC
acocado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
açoitado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
acolhedor,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
acolhido,Adj,TG=HUM:N0,POL:N0=0,,ANOT=JALC
acomodadiço,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
acomodar-se,V,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
acomodatício,Adj,TG=HUM:N0,POL:N0=0,,ANOT=MAN
acompanhado,Adj,TG=HUM:N0,POL:N0=0,,ANOT=JALC
acompanhador,Adj,TG=HUM:N0,POL:N0=0,,ANOT=JALC
acompanhante,Adj,TG=HUM:N0,POL:N0=0,,ANOT=JALC
aconchegado,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
acordado,Adj,TG=HUM:N0,POL:N0=0,,ANOT=MAN
acordar com o rabo para o ar,IDIOM,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
acordar com os pés de fora,IDIOM,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
acorrentado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
acorrentar-se,V,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
acorrentar,V,TG=HUM:N0:N1,POL:N0=1,POL:N1=-1,ANOT=MAN
acossado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
acossar,V,TG=HUM:N0:N1,POL:N0=1,POL:N1=-1,ANOT=MAN
acostumado,Adj,TG=HUM:N0,POL:N0=0,,ANOT=JALC
acotovelar,V,TG=HUM:N0:N1,POL:N0=0,POL:N1=-1,ANOT=MAN
açougueiro,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
acre,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
acreditado,Adj,TG=HUM:N0,POL:N0=1,,ANOT=JALC
acreditar,V,TG=HUM:N0:N1,POL:N0=0,POL:N1=1,ANOT=MAN
acriançado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
acrisolado,Adj,TG=HUM:N0,POL:N0=0,,ANOT=JALC
acrítico,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
activo,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
actualista,Adj,TG=HUM:N0,POL:N0=0,,ANOT=MAN
acudir,V,TG=HUM:N0:N1,POL:N0=1,POL:N1=0,ANOT=MAN
aculturado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
acurado,Adj,TG=HUM:N0,POL:N0=1,,ANOT=JALC
acusado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
acusar,V,TG=HUM:N0:N1,POL:N0=0,POL:N1=-1,ANOT=MAN
acutilante,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
adâmico,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
adaptado,Adj,TG=HUM:N0,POL:N0=0,,ANOT=JALC
adepto,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
adequado,Adj,TG=HUM:N0,POL:N0=1,,ANOT=JALC
adestrado,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
adicional,Adj,TG=HUM:N0,POL:N0=0,,ANOT=JALC
adiposo,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
adjacente,Adj,TG=HUM:N0,POL:N0=0,,ANOT=JALC
administrado,Adj,TG=HUM:N0,POL:N0=0,,ANOT=JALC
admirar,V,TG=HUM:N0:N1,POL:N0=0,POL:N1=1,ANOT=MAN
admirável,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
admitido,Adj,TG=HUM:N0,POL:N0=0,,ANOT=JALC
admoestador,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
adoentado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
adorado,Adj,TG=HUM:N0,POL:N0=1,,ANOT=JALC
adorando,Adj,TG=HUM:N0,POL:N0=1,,ANOT=JALC
adorar,V,TG=HUM:N0:N1,POL:N0=0,POL:N1=1,ANOT=MAN
adorável,Adj,TG=HUM:N0,POL:N0=1,,ANOT=JALC
adormecido,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
adulador,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
adulterador,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
adulterino,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
adultério,N,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
adúltero,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
adulto,Adj,TG=HUM:N0,POL:N0=0,,ANOT=MAN
adventista,Adj,TG=HUM:N0,POL:N0=0,,ANOT=MAN
adverso,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
aéreo,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
afabilidade,N,TG=HUM:N0,POL:N0=1,,ANOT=MAN
afamado,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
afanado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
afasia,N,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
afásico,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
afastar,V,TG=HUM:N0:N1,POL:N0=0,POL:N1=-1,ANOT=MAN
afável,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
afectado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
afectar,V,TG=HUM:N0:N1,POL:N0=0,POL:N1=-1,ANOT=MAN
afectividade,N,TG=HUM:N0,POL:N0=1,,ANOT=MAN
afectivo,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
afecto,N,TG=HUM:N0,POL:N0=1,,ANOT=MAN
afectuoso,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
afeiçoado,Adj,TG=HUM:N0,POL:N0=1,,ANOT=JALC
afeito,Adj,TG=HUM:N0,POL:N0=0,,ANOT=JALC
afeminado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
aferido,Adj,TG=HUM:N0,POL:N0=0,,ANOT=JALC
aferrado,Adj,TG=HUM:N0,POL:N0=0,,ANOT=JALC
afetado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
afetividade,N,TG=HUM:N0,POL:N0=1,,ANOT=MAN
afetivo,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
afeto,N,TG=HUM:N0,POL:N0=1,,ANOT=MAN
afetuoso,Adj,TG=HUM:N0,POL:N0=1,,ANOT=JALC
afiado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
afidalgado,Adj,TG=HUM:N0,POL:N0=0,,ANOT=MAN
afilado,Adj,TG=HUM:N0,POL:N0=0,,ANOT=JALC
afilhado,Adj,TG=HUM:N0,POL:N0=0,,ANOT=JALC
afinado,Adj,TG=HUM:N0,POL:N0=1,,ANOT=JALC
afincado,Adj,TG=HUM:N0,POL:N0=0,,ANOT=JALC
afirmativo,Adj,TG=HUM:N0,POL:N0=1,,ANOT=JALC
aflição,N,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
afligido,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
afligir-se,V,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
afligir,V,TG=HUM:N0:N1,POL:N0=0,POL:N1=-1,ANOT=MAN
aflitivo,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
aflito,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
afobado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
afogado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
afogar as mágoas,IDIOM,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
afogar-se em pouca água,IDIOM,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
afogar-se,V,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
afogueado,Adj,TG=HUM:N0,POL:N0=0,,ANOT=JALC
afoiteza,N,TG=HUM:N0,POL:N0=1,,ANOT=MAN
afoito,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
afortunado,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
afrancesado,Adj,TG=HUM:N0,POL:N0=0,,ANOT=MAN
afrontado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
afrontar,V,TG=HUM:N0:N1,POL:N0=1,POL:N1=-1,ANOT=MAN
afrontoso,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
afugentar,V,TG=HUM:N0:N1,POL:N0=1,POL:N1=-1,ANOT=MAN
afundado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
afundanço,N,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
afundar-se,V,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
afundar,V,TG=HUM:N0:N1,POL:N0=1,POL:N1=-1,ANOT=MAN
agachado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
agarotado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
agarrado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
agarrar a oportunidade com unhas e dentes,IDIOM,TG=HUM:N0,POL:N0=1,,ANOT=MAN
agarrar a oportunidade,IDIOM,TG=HUM:N0,POL:N0=1,,ANOT=MAN
agarrar o touro pelos cornos,IDIOM,TG=HUM:N0,POL:N0=1,,ANOT=MAN
agarrar-se ao poder,IDIOM,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
agasalhado,Adj,TG=HUM:N0,POL:N0=0,,ANOT=MAN
agastadiço,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
agastado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
agastar-se,V,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
ágil,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
agilidade,N,TG=HUM:N0,POL:N0=1,,ANOT=MAN
agiota,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
agir de boa-fé,IDIOM,TG=HUM:N0,POL:N0=1,,ANOT=MAN
agir de má-fé,IDIOM,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
aglomerado,Adj,TG=HUM:N0,POL:N0=0,,ANOT=JALC
agnóstico,Adj,TG=HUM:N0,POL:N0=0,,ANOT=MAN
agoirento,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
agonia,N,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
agoniado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
agoniante,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
agoniar,V,TG=HUM:N0:N1,POL:N0=-1,POL:N1=0,ANOT=MAN
agonizante,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
agoureiro,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
agourento,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
agradado,Adj,TG=HUM:N0,POL:N0=1,,ANOT=JALC
agradar,V,TG=HUM:N0:N1,POL:N0=1,POL:N1=0,ANOT=MAN
agradável,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
agradecer,V,TG=HUM:N0:N1,POL:N0=0,POL:N1=1,ANOT=MAN
agrado,N,TG=HUM:N0,POL:N0=1,,ANOT=MAN
agravado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
agravar,V,TG=HUM:N0:N1,POL:N0=-1,POL:N1=0,ANOT=MAN
agre,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
agredir,V,TG=HUM:N0:N1,POL:N0=-1,POL:N1=0,ANOT=MAN
agregado,Adj,TG=HUM:N0,POL:N0=0,,ANOT=JALC
agressividade ,N,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
agressivo,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
agressor,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
agreste,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
agrilhoado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
agrosseirado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
aguado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
aguardado,Adj,TG=HUM:N0,POL:N0=0,,ANOT=JALC
aguçado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
agudo,Adj,TG=HUM:N0,POL:N0=0,,ANOT=JALC
aguentar-se bem,IDIOM,TG=HUM:N0,POL:N0=1,,ANOT=MAN
aguentar-se,V,TG=HUM:N0,POL:N0=1,,ANOT=MAN
aguerrido,Adj,TG=HUM:N0,POL:N0=0,,ANOT=MAN
airoso,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
ajanotado,Adj,TG=HUM:N0,POL:N0=0,,ANOT=MAN
ajudado,Adj,TG=HUM:N0,POL:N0=1,,ANOT=JALC
ajuizado,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
alapado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
alarmante,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
alarmismo,N,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
alarmista,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
alarve,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
alarvice,N,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
albigense,Adj,TG=HUM:N0,POL:N0=0,,ANOT=MAN
albino,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
alcandorado,Adj,TG=HUM:N0,POL:N0=0,,ANOT=JALC
alcoólatra,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
alcoólico,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
alcoolismo,N,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
alcoolizado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
alcunhado,Adj,TG=HUM:N0,POL:N0=0,,ANOT=JALC
aldrabão,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
alegado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
alegrar-se,V,TG=HUM:N0,POL:N0=1,,ANOT=MAN
alegre,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
alegrete,Adj,TG=HUM:N0,POL:N0=0,,ANOT=MAN
alegria,N,TG=HUM:N0,POL:N0=1,,ANOT=MAN
alegrote,Adj,TG=HUM:N0,POL:N0=0,,ANOT=MAN
aleijado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
aleivoso,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
alentado,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
alentador,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
alento,N,TG=HUM:N0,POL:N0=1,,ANOT=MAN
alérgico,Adj,TG=HUM:N0,POL:N0=0,,ANOT=MAN
alfabetizado,Adj,TG=HUM:N0,POL:N0=0,,ANOT=MAN
algemado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
alheado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
alhear-se,V,TG=HUM:N0:N1,POL:N0=-1,POL:N1=0,ANOT=MAN
alheio,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
aliado,Adj,TG=HUM:N0,POL:N0=0,,ANOT=JALC
alicerçado,Adj,TG=HUM:N0,POL:N0=1,,ANOT=JALC
aliciado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
aliciar,V,TG=HUM:N0:N1,POL:N0=-1,POL:N1=0,ANOT=MAN
alienação mental,N,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
alienado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
alienígena,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
aligeirado,Adj,TG=HUM:N0,POL:N0=0,,ANOT=JALC
alimentado,Adj,TG=HUM:N0,POL:N0=0,,ANOT=JALC
alinhado,Adj,TG=HUM:N0,POL:N0=1,,ANOT=JALC
aliviado,Adj,TG=HUM:N0,POL:N0=0,,ANOT=JALC
almo,Adj,TG=HUM:N0,POL:N0=1,,ANOT=JALC
almóada,Adj,TG=HUM:N0,POL:N0=0,,ANOT=MAN
almorávida,Adj,TG=HUM:N0,POL:N0=0,,ANOT=MAN
aloirado,Adj,TG=HUM:N0,POL:N0=0,,ANOT=MAN
alourado,Adj,TG=HUM:N0,POL:N0=0,,ANOT=MAN
alquebrado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
altamente,Adj,TG=HUM:N0,POL:N0=1,,ANOT=JALC
altaneiro,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
alteroso,Adj,TG=HUM:N0,POL:N0=0,,ANOT=JALC
altivo,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
alto,Adj,TG=HUM:N0,POL:N0=0,,ANOT=MAN
altruísmo,N,TG=HUM:N0,POL:N0=1,,ANOT=MAN
altruísta,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
altruístico,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
aluado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
alucinação,N,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
alucinado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
alucinar,V,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
alumbrado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
alumiado,Adj,TG=HUM:N0,POL:N0=1,,ANOT=MAN
alvejado,Adj,TG=HUM:N0,POL:N0=0,,ANOT=JALC
alvissareiro,Adj,TG=HUM:N0,POL:N0=0,,ANOT=MAN
alvoraçado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=MAN
amabilidade,N,TG=HUM:N0,POL:N0=1,,ANOT=MAN
amachucado,Adj,TG=HUM:N0,POL:N0=-1,,ANOT=JALC
amachucar,V,TG=HUM:N0:N1,POL:N0=1,POL:N1=-1,ANOT=MAN
